moneda_base,moneda_destino,valor_compra,valor_venta,fecha_hora,fecha_carga
USD,MRO,39.81,40.31,2025-02-28 22:00:08,2025-04-01 21:24:28
USD,MUR,44.63,46.63,2025-04-01 10:39:10,2025-04-01 21:24:28
USD,MVR,15.26,15.56,2025-03-31 21:00:00,2025-04-01 21:24:28
USD,MWK,1731.21,1738.62,2025-04-01 11:19:03,2025-04-01 21:24:28
USD,MYR,4.435,4.44,2025-04-01 00:22:11,2025-04-01 21:24:28
USD,NAD,18.1743,18.6005,2025-04-01 11:19:04,2025-04-01 21:24:28
USD,NGN,1536.25,1537.25,2025-04-01 14:15:40,2025-04-01 21:24:28
USD,NIO,36.3566,37.2831,2025-04-01 11:19:05,2025-04-01 21:24:28
USD,NPR,135.559,138.709,2025-04-01 11:19:04,2025-04-01 21:24:28
USD,NZD,1.75466,1.75518,2025-04-01 16:36:46,2025-04-01 21:24:28
USD,OMR,0.383613,0.386393,2025-04-01 16:31:35,2025-04-01 21:24:28
USD,PAB,0.977305,1.02363,2025-04-01 11:19:03,2025-04-01 21:24:28
USD,PEN,3.6753,3.6803,2025-04-01 12:48:37,2025-04-01 21:24:28
USD,PGK,4.05166,4.1999,2025-04-01 11:19:05,2025-04-01 21:24:28
USD,PHP,57.235,57.281,2025-04-01 16:36:44,2025-04-01 21:24:28
USD,PKR,278.828,281.792,2025-04-01 11:19:04,2025-04-01 21:24:28
USD,PYG,7867.99,8108.88,2025-04-01 11:19:05,2025-04-01 21:24:28
USD,QAR,3.50965,3.78761,2025-04-01 11:19:05,2025-04-01 21:24:28
USD,RON,4.6047,4.6147,2025-04-01 16:36:27,2025-04-01 21:24:28
USD,RSD,108.017,109.017,2025-04-01 16:33:08,2025-04-01 21:24:28
USD,RWF,1412.84,1440.64,2025-04-01 11:19:03,2025-04-01 21:24:28
USD,SCR,13.628,15.128,2025-04-01 15:25:11,2025-04-01 21:24:28
USD,SDG,598.0,603.0,2025-03-31 21:00:00,2025-04-01 21:24:28
USD,SOS,534.726,608.852,2025-04-01 11:19:03,2025-04-01 21:24:28
USD,STD,23.6,24.5,2025-02-28 22:00:08,2025-04-01 21:24:28
USD,SVC,8.53138,8.9761,2025-04-01 11:19:05,2025-04-01 21:24:28
USD,SYP,13000.0,13010.0,2025-02-28 20:59:56,2025-04-01 21:24:28
USD,SZL,18.1883,18.5589,2025-04-01 11:19:03,2025-04-01 21:24:28
USD,TND,3.09466,3.12431,2025-04-01 11:19:04,2025-04-01 21:24:28
USD,TTD,6.64965,6.92761,2025-04-01 11:19:04,2025-04-01 21:24:28
USD,TWD,33.238,33.248,2025-04-01 16:36:33,2025-04-01 21:24:28
USD,TZS,2639.99,2640.01,2025-03-31 23:00:01,2025-04-01 21:24:28
USD,UAH,41.1064,41.6642,2025-04-01 16:36:45,2025-04-01 21:24:28
USD,UGX,3614.36,3697.75,2025-04-01 11:19:04,2025-04-01 21:24:28
USD,UYU,41.6284,42.7403,2025-04-01 11:19:04,2025-04-01 21:24:28
USD,UZS,12911.0,12975.9,2025-04-01 11:19:04,2025-04-01 21:24:28
USD,VEF,64.4007,64.4077,2025-02-28 22:00:08,2025-04-01 21:24:28
USD,VND,25620.0,25650.0,2025-04-01 10:28:57,2025-04-01 21:24:28
USD,VUV,121.0,126.0,2025-02-28 21:26:17,2025-04-01 21:24:28
USD,XAF,601.72,601.72,2025-03-14 21:43:06,2025-04-01 21:24:28
USD,XCD,2.6882,2.7169,2025-03-31 21:00:01,2025-04-01 21:24:28
USD,XOF,604.0,609.0,2025-03-31 21:00:01,2025-04-01 21:24:28
